category,item,symbol,source_ids,exact_locator_or_fields,meaning_or_transformation,evidence_status,scope_limit
"notation","permit count","N_permit","E3,D1,D2,E14","issued_permits COUNT; ordinary permit_registry COUNT; E3 audit:113,147,290; outcomes.permits","Registered permit count; audit first reconstructs requests with non-null permit_json and verifies registry equality.","observed state count","Includes retained non-action/cancelled permits; not number of effects/actions."
"notation","effect count","N_effect","R3,E6,E3,D1","effects COUNT; outcomes.effects; audit effects","Number of durable records in the separate synthetic sink.","observed state count","Not original simulator executions and not automatically equal to receipt count."
"notation","receipt count","N_receipt","L1,R2,E3,D1","receipt_log COUNT; ordinary receipts COUNT; outcomes.receipts","Count of local completion receipts in the stated implementation.","observed state count","Original simulator can record failed/non-action receipts, so receipt count is not a generic effect count."
"notation","archived tuple","observed_P_H_E_R","D2,E14","E14 build_report:39-41; tuple('permits','reserved','effects','receipts')","Maps to N_permit / sum_k S_k / N_effect / N_receipt; tuple omits committed capacity.","archived display encoding","Do not interpret P as the permit object or H as one budget key in a mixed-key scenario."
"notation","distinct effects per key","X_k","E3,L1,R2,R3","Join effects.idempotency_key to delivery[_outbox].permit_id/key, permit.reservation_id, then reservation budget key","Conceptual cumulative distinct effects attributed to one fixed key.","new analytical concept","No X_k column; sink payload alone lacks full policy/revision/scope. COUNT current rows assumes no deletion/reset and complete controlled-path mapping."
"notation","consistent global cut","global cut","E4,E3,PARG","E4 nested phase:66-74 backs up client before sink; E3 read_db:26 uses separate read-only database transactions","Finite causally closed conceptual state of abstract committed events.","new analytical concept","Not a simultaneous cross-database measurement, archived column, or universal-history checker."
"notation","intent/acknowledgement","I,a","R1,R2,R3,E5","delivery_outbox/delivery; permit_id,idempotency_key,payload_json,payload_hash,state; ACK effect_id,idempotency_key,payload_hash,payload,committed_at","I is persisted delivery intent; a is the sink response dictionary. finish checks bindings before local reconciliation.","implemented records with mathematical names","durable_effect_ack relies on trusted sink; no independently authenticated proof of external reality."
"notation","time fields","authorization/effect/reconciliation times","R1,R2,R3","armed_at; delivery receipt authorized_at/service_committed_at/reconciled_at/reconciliation_policy_clock; sink effects.committed_at","Keep injected policy time separate from wall-clock observations and stored pre-insert service time.","implemented observations","effects.committed_at is sampled before INSERT, not a measured commit-completion instant."
"notation","participant index","i","A2,A3,D4,D7","dataset_id,model_name,subject_id plus analysis,capacity_basis,allocator","One participant within a specified cohort/generator/policy arm.","analysis grouping","Do not pool model copies or two policy arms as independent participants."
"notation","alerts/true alerts/positives","A_i,T_i,Y_i","A2,A3,D4,D7","D4 n_alert,n_true_alert,n_positive; D7 n_alert,n_alert_positive,n_positive; A3 inputs_and_counts:119-153","A_i issued alerts; T_i their proxy-positive labels; Y_i all episode proxy-positive decisions. S7 renames n_alert_positive to n_true_alert.","frozen participant sufficient statistics","Original e1 pooled metrics use n_true_alerts (plural). Candidate n_positive replaces T_i only in the explicit capacity_removed arm."
"notation","precision/coverage","T_i/A_i,T_i/Y_i","A3,D5,D6","A3 calculate:59; common_calculate:70; main:233-241; metric alert_precision/alert_coverage","Pooled=sum numerator/sum denominator; macro=mean participant ratio over positive denominators; paired common set is intersection of arm-valid sets.","implemented estimands","Zero alerts gives undefined precision; zero positive labels gives undefined coverage; no-alert positive participant has zero coverage."
"notation","pacing allowance","b(t),K,H,t","A2,D7","A2 allocate:27-35 local release; main:89-98; D7 alert_cap,planned_horizon; input trial_id","release=min(cap,1+(trial-1)*cap//horizon); b(t) is cumulative availability, K=8 or ceil(8H/100).","implemented online schedule","b(t) is not persisted per-decision output; no release of held lifecycle reservations is implied. Declined candidates are not queued."
"equation","Eq. 1 / eq:permission","(P_t,B_{t+1})=ECRC_pi(Q_t,E_t,B_t)","M1,M2,L1,E1,E2","OrderedAdjudicator.adjudicate:33; register_issued_permit:224; S8 Adapter.issue:101 / ordinary issue:314","Compact notation for adjudication, state update and one final route.","presentation of existing contract; S8 outer issuance is later implementation","Original reserve/register are separate; only S8 adds complete issuance atomicity."
"equation","Eq. 2 / eq:evidence","mathcal A_t,mathcal U_t","M1,M2","_gate_evidence:220-263; fields admitted_evidence_ids,used_evidence_ids","Admitted/used metadata-qualified set construction.","presentation of existing implementation","No claim of full model-input provenance."
"equation","Eq. 3 / eq:routing","bar r_t","M2,A1,A2","adjudicate:58-107; e1 route_frame:22; online route_frame:38","Ordered pre-cap gates; review half-width and alert threshold share frozen settings.","presentation of existing routing","Final route may change after capacity or claim support; replay human_review maps to review."
"equation","Eq. 4 / eq:capacity","reserve,commit,release","L1,E2,R2","reserve:489; _commit_reservation_conn:711; _release_reservation_conn:797; ordinary _reserve:282/_release:304 and finish:184","Unit accounting transitions under capacity guard.","abstract summary of implemented ledger operations","Release needs held state plus lifecycle authorization; low-level release alone is not outbox-aware."
"equation","Eq. 5 / eq:arm","armable_t(P)","R1,R2,E1,E2","Adapter.arm:41 /127; S8 arm:138; cleanup:146/433; _assert_policy_usable_conn:448","New intent validates registered content/current policy/half-open permit time/action/held binding/cancellation exclusion.","S6/S8 service-facing contract","Returning an existing durable intent is recovery, not a fresh authorization check; S8 adds cancellation exclusion."
"equation","Eq. 6 / eq:reconcile","reconcilable(I,a)","R1,R2,R3","Adapter.finish:73 /184; EffectLedger.post:84","ACK key/hash/payload/effect identity checks plus trusted durable sink response; atomic local receipt/accounting/completion.","S6/S8 service-facing contract","Not distributed atomic commit or a cryptographic proof independent of the sink."
"equation","Eq. 7 / eq:effect-bound","X_k<=S_k+C_k<=L_k","PARG,L1,R1,R2,R3,E1,E2,E3","Current explanatory argument; supporting implementation pointers below","Finite injection of effects into retained unique units, plus induction over guarded ledger transitions.","NEW analytical sufficiency argument; not an experiment","Requires all controlled mutators, finite consistent cut, fixed key/limit, persistent sink dedup and non-reclaimed committed units; no all-history code proof."
"property","controlled mutators / initial accounting","closed ledger transition model","L1,E3,E1,E2","L1 reserve:489/_commit:711/_release:797; E3 audit:189-201; E1 cleanup:146; E2 cleanup:433","All modifications must follow declared serialized transitions; valid initial state and accurate counter reconstruction required.","assumption with bounded source/observed-check support","Arbitrary calls to ledger.release are outside this guarantee."
"property","stable operation-to-unit injection","distinct operations/distinct units","M2,L1,R1,R2","register_issued_permit:224; reserve idempotency binding:489; arm:41/127; sink key=permit_id","One controlled operation binds one distinct unit and immutable service key/payload.","specified binding checked by implementations","Fresh business aliases with fresh units are not excluded business duplicates; this is not cross-revision deduplication."
"property","controlled arm-before-effect path","durable arm before HTTP","R4,E13,R1,R2","run_one:4; worker main:4, arm:29, HTTP:37, finish:39","Controlled runners obtain a durable intent before dispatch.","implementation path plus assumption of no bypass","The trusted HTTP sink does not authenticate an ECRC arm by itself; callers bypassing the runner are excluded."
"property","persistent sink effect/dedup","one effect per operation key","R3,E6,E12","EffectLedger.post:84-104; effects schema:49-64; DelayedHandler.reply:6","Key/payload/effect stored in one service transaction, durable across modeled restarts.","implemented sink contract","Persistent key retention is required; arbitrary API dedup/retention semantics and storage corruption are excluded."
"property","unarmed cancellation","cancel/release prevents new arm","E1,E2,R1,R2","E1 cleanup:146-170, arm:138; E2 cleanup:433; base arm writer transactions","Outbox absence checked before atomic cancellation/release under common writer serialization.","S8 new implementation","Different from original unissued-reservation lease recovery; S6 does not test issuance-to-arm cleanup."
"property","armed retention","existing or possible effect stays accounted","E1,E2,R1,R2","cleanup intent check:156/447; existing intent path in arm; no post-arm cancellation","Unresolved unit stays held; reconciled unit stays committed despite later expiry/revocation.","stated service contract and controlled implementation","Does not follow from low-level ledger release alone; indefinite outage can hold capacity indefinitely."
"property","single local reconciliation","held->committed exactly once","R1,R2,L1","finish:73/184; _commit_reservation_conn:711; receipt_log/receipts; delivery state=receipted","Receipt, held-to-committed transfer and local completion share one transaction; finished retry returns receipt.","implemented transition","Does not force eventual completion and does not roll back a remote effect."
"property","consistent cut / observations","conceptual vs observed","E4,E3,D1,D2,D3","client backup followed by sink backup:66-74; separate read_db:26; observed audit results","Archived checkpoints support observed states; the proof cut is an abstract causally closed state.","analytical qualifier plus observed archive","No cross-database simultaneous measurement or all-interleavings proof is archived."
"table1","Right-to-Act v1","lavi2026right","BIB1,T1","https://arxiv.org/html/2604.24153v1 ; section 4; DOI 10.48550/arXiv.2604.24153","Abstract non-compensatory pre-execution rule.","primary source version checked 2026-09-12","Scope comparison, not an unreported-feature absence claim."
"table1","Before the Tool Call v1","uchibeke2026before","BIB1,T1","https://arxiv.org/html/2603.20953v1 ; sections 3.2-3.5,4; DOI 10.48550/arXiv.2603.20953","Passport/hook and signed pre-action record.","primary source version checked 2026-09-12","Do not equate signed authorization with confirmed remote completion."
"table1","Agent Contracts v3","ye2026contracts","BIB1,T1","https://arxiv.org/html/2601.08815v3 ; sections 4.3,6.1,7.1-7.3; DOI 10.48550/arXiv.2601.08815","Task lifecycle/resource governance; practical between-action enforcement.","primary source version checked 2026-09-12","No claim of arbitrary external-effect recovery."
"table1","Cordon v1","chen2026cordon","BIB1,T1","https://arxiv.org/html/2606.17573v1 ; sections 3.3-3.4,4.4-4.6; DOI 10.48550/arXiv.2606.17573","Task transaction, lineage, local recovery and authority-bearing outbox.","primary source version checked 2026-09-12","No claim that ECRC recovers Cordon's semantic lineage or dominates its recovery model."
"table1","MasuGate v2","peng2026masugate","BIB2,T1","https://arxiv.org/html/2608.02764v2 ; sections 3.3-3.4,4.4-4.5,6 External Effects; DOI 10.48550/arXiv.2608.02764","Yuxiang Peng and Xiaodi Wu; Stateful Governance for Concurrent Agentic Systems; version 2, 10 August 2026.","new verified bibliography entry","PSS serial explanation and ECRC irrevocable arm are different contracts; nontransactional API recovery is future work there."
"table1","ECRC / present study","this study","M2,L1,R1,R2,R3,E1,E2,E3,T1","Original simulator; S6 preissued delivery; S8 raw-request outer issuance/cleanup","Scope row synthesizes the contract and distinct evaluated implementation boundaries.","present study source mapping","Not a sixth external paper, ECRC-exclusive mechanism or all-history implementation proof."
